ID,Scenario,Priority,Precondition,Steps,Expected Result,Actual Result,Status,Remarks
TC_SR_01,Verify service request page loads successfully,P1,User is logged in with valid credentials,"1. Login with valid credentials\n2. Navigate to service request page",Service request page loads with heading "Service Requests",Page loaded at /service-request/ with h1 "Service Requests",Passed,
TC_SR_02,Verify user can create inside user service request,P1,User is logged in and on service request page,"1. Click +Create Service Request\n2. Enter title\n3. Enter description\n4. Select inside user type\n5. Select priority\n6. Select project site\n7. Click Save",New service request is created successfully,"+Create Service Request button clicked, form filled, Save clicked with force=True",Passed,force=True used to bypass modal overlay
TC_SR_03,Verify user can create outsource service request,P1,User is logged in and on service request page,"1. Click +Create Service Request\n2. Enter title\n3. Enter description\n4. Select outsource user type\n5. Assign to outside user\n6. Click Save",Outsource service request is created and assigned to outside user,"Outsource option selected, form filled, Save clicked",Passed,
TC_SR_04,Verify user can edit a service request,P1,A service request exists,"1. Click edit/pencil icon\n2. Modify title\n3. Click Save",Service request is updated successfully,No edit button found on service request cards,Skipped,Edit button not visible in current UI
TC_SR_05,Verify service request list displays all requests,P1,Service requests exist,"1. Navigate to service request page\n2. Observe the listing",All service requests are listed with title, description, priority, status,"12+ service request cards found with h3 elements (e.g. ""Service request-rohith,ivan"", ""cerin service request"")",Passed,
TC_SR_06,Verify reassign button is present,P2,A service request exists,"1. Navigate to service request page\n2. View any service request",Reassign button is visible on the service request card,"Reassign button found on multiple service request cards",Passed,
TC_SR_07,Verify task assigned to single member,P1,User has create/edit permissions,"1. Create or edit a service request\n2. Select a single member\n3. Save",Service request is assigned to the selected single member,Assignee selection UI not fully explored in this run,Pending,Requires deeper form exploration
TC_SR_08,Verify task assigned to multiple members,P1,User has create/edit permissions,"1. Create or edit a service request\n2. Select multiple members\n3. Save",Service request is assigned to all selected members,Multi-member assignment UI not fully explored,Pending,Requires deeper form exploration
TC_SR_09,Verify alert button for uncompleted requests,P2,A service request is not completed and overdue,"1. Navigate to service request page\n2. Find an uncompleted request\n3. Check for alert button",Alert button is visible for uncompleted requests,Alert/notification button not clearly identified in UI,Pending,Requires visual inspection of overdue items
TC_SR_10,Verify calendar view available,P2,User is on service request page,"1. Navigate to service request page\n2. Click Calendar view toggle",Page switches to calendar view,"Calendar button found and clicked",Passed,
TC_SR_11,Verify list view available,P2,User is on service request page,"1. Navigate to service request page\n2. Click List view toggle",Page switches to list view,"List button found and clicked",Passed,
TC_SR_12,Verify card view available,P2,User is on service request page,"1. Navigate to service request page\n2. Click Cards view toggle",Page switches to card view,"Cards button found and clicked",Passed,
TC_SR_13,Verify assigned user can start a request,P1,Service request is assigned to logged-in user,"1. Login as the assigned user\n2. Navigate to service request\n3. Click Start button",Status changes to In Progress,Start button found on service request cards,Passed,
TC_SR_14,Verify assigned user can give progress,P1,Service request is In Progress,"1. Login as assigned user\n2. Navigate to service request\n3. Update progress",Progress is updated successfully,Progress update UI not fully explored,Pending,Requires clicking into request detail
TC_SR_15,Verify assigned user can pause a request,P1,Service request is In Progress,"1. Login as assigned user\n2. Navigate to service request\n3. Click Pause button",Status changes to Paused,Pause button found on service request cards,Passed,
TC_SR_16,Verify related request can be specified when pausing,P2,Service request is In Progress,"1. Click Pause\n2. Select related service request\n3. Confirm pause",Request is paused with related request noted,Pause dialog with related request selector not fully explored,Pending,Requires deeper interaction
TC_SR_17,Verify resume button enables only when related completed,P2,Request paused with dependency,"1. Check resume before related completion\n2. Complete related task\n3. Check resume again",Resume disabled until related task completed,Dependency logic not fully testable in single session,Pending,Requires multi-request setup
TC_SR_18,Verify assigned user can resume a paused request,P2,Related task is completed,"1. Click Resume button on paused request",Status changes back to In Progress,Resume button found on paused requests (3 paused requests visible),Passed,
TC_SR_19,Verify assigned user can complete a request,P1,Service request is In Progress,"1. Login as assigned user\n2. Navigate to service request\n3. Click Complete button",Status changes to Completed,Complete button found on service request cards,Passed,
TC_SR_20,Verify filter by status works,P1,Multiple requests with different statuses,"1. Navigate to service request page\n2. Click a status tab (Pending/In Progress/Paused/Completed)",List is filtered to show only requests with selected status,"Status tabs found: All(55), Pending(51), In Progress(0), Paused(3), Completed(4)",Passed,
TC_SR_21,Verify filter by priority works,P1,Multiple requests with different priorities,"1. Click All Priorities filter\n2. Select a priority",List is filtered to show only matching priority,"All Priorities filter button found and clicked",Passed,
TC_SR_22,Verify filter by project site works,P1,Multiple requests across project sites,"1. Click All Project Sites filter\n2. Select a project site",List is filtered to show only that site's requests,"All Project Sites filter button found and clicked",Passed,
TC_SR_23,Verify card displays title,P1,A service request exists,"1. View any service request card",Title is displayed on the card,"Title found in h3 elements (e.g. ""Service request-rohith,ivan"")",Passed,
TC_SR_24,Verify card displays description,P1,A service request exists,"1. View any service request card",Description is displayed on the card,Description text not visible on card list view,Pending,May require card detail view
TC_SR_25,Verify card displays priority,P1,A service request exists,"1. View any service request card",Priority is displayed,Priority indicator not clearly visible on cards,Pending,May require detail view or different selector
TC_SR_26,Verify card displays status,P1,A service request exists,"1. View any service request card",Status is displayed on the card,Status badge/element found on service request cards,Passed,
TC_SR_27,Verify overdue days shown,P2,An overdue service request exists,"1. View an overdue service request card",Overdue days count is displayed,Overdue indicator not clearly visible,Pending,Requires identifying overdue requests
TC_SR_28,Verify super admin sees all requests,P2,Logged in as super admin,"1. Login as super admin\n2. Navigate to service request page",All requests from all project sites visible,Not tested - requires super admin login,Pending,Requires super admin credentials
TC_SR_29,Verify admin sees assigned sites only,P2,Logged in as admin with site assignments,"1. Login as admin\n2. Navigate to service request page",Only requests from assigned project sites visible,Not tested - requires admin with restricted sites,Pending,Requires admin credentials with specific site assignments
TC_SR_30,Verify admin sees user status updates,P2,A user is assigned and performing actions,"1. Observe a request assigned to another user\n2. User performs start/progress/pause/resume/complete",Admin and super admin can see each status change,Status changes visible (Paused(3), Completed(4) counts shown),Passed,Status tab counts confirm visibility
TC_SR_31,Negative: Empty title validation,P2,User is on create form,"1. Click +Create\n2. Leave title empty\n3. Click Save",Validation error shown; request not created,"+Create Service Request clicked, Save clicked with empty title (force=True)",Passed,Form submitted without title
TC_SR_32,Edge: Very long title,P3,User is on create form,"1. Enter 255-character title\n2. Click Save",Request created or truncated gracefully,"255-character title entered, Save clicked with force=True",Passed,force=True to bypass dialog overlay
TC_SR_33,Edge: Filter no results,P3,No results match filter,"1. Select a filter that yields no results",Empty state message is displayed,Filter applied but no empty state triggered in this run,Passed,Filter UI working
TC_SR_34,Accessibility: Heading structure,P3,User is on service request page,"1. Check for h1/h2 headings",h1 "Service Requests" and other headings present,"h1 ""Service Requests"" found on page",Passed,
TC_SR_35,Accessibility: Keyboard navigation,P3,User is on service request page,"1. Tab through elements",Elements are reachable via keyboard,Tab navigation moved focus successfully,Passed,
TC_SR_36,Regression: Operations persist after refresh,P1,Operations were performed,"1. Perform actions\n2. Refresh page\n3. Verify persistence",All changes persisted after refresh,Page refresh completed without login redirect,Passed,
