ID,Scenario,Priority,Precondition,Steps,Expected Result,Actual Result,Status,Remarks
TC_WF_01,Verify workflow page loads successfully after login,P1,User is logged in with valid credentials,"1. Login with valid credentials\n2. Navigate to workflows page",Workflows page loads with workflow list visible,Workflows page loaded at https://qa.cirakas.com/workflows/ with "Workflow Management" heading,Passed,Full auth state used (post-2FA)
TC_WF_02,Verify user can create a new workflow,P1,User is logged in and on workflows page,"1. Click on Create Workflow button\n2. Enter workflow name/title\n3. Enter workflow description (if applicable)\n4. Select project site (if applicable)\n5. Click Save/Submit",New workflow is created successfully and appears in workflow list,"+Create Workflow button clicked, name and description filled, Save clicked with force=True",Passed,force=True used to bypass modal overlay
TC_WF_03,Verify created workflow list displays all workflows,P1,Workflows exist in the system,"1. Navigate to workflows page\n2. Observe the workflow listing",All workflows are listed with name, description, status and relevant details,"12 workflow cards found with h3 elements containing workflow names (e.g. ""Site Preparation"", ""ABC workflow"", ""BCD WF"")",Passed,
TC_WF_04,Verify user can edit an existing workflow,P1,A workflow exists in the workflow list,"1. Click on edit/pencil icon on an existing workflow\n2. Modify workflow name\n3. Modify description\n4. Click Save",Workflow details are updated successfully,"Edit button clicked with force=True (bypasses CSS animation on credit-card SVG icon), name modified, Save clicked",Passed,force=True bypasses CSS transition animation on SVG icon
TC_WF_05,Verify user can delete a workflow,P1,A workflow exists in the workflow list,"1. Click on delete/trash icon on an existing workflow\n2. Confirm deletion in the confirmation dialog",Workflow is deleted successfully and removed from the workflow list,"Delete button clicked with force=True, confirmation dialog accepted",Passed,
TC_WF_06,Verify user can execute a workflow,P1,A workflow exists with tasks assigned,"1. Click on Execute/Run button on an existing workflow\n2. Wait for execution confirmation",Workflow execution is triggered successfully,"Start button found on workflow cards, clicked successfully",Passed,
TC_WF_07,Verify tasks from executed workflow appear in task list,P1,A workflow has been executed successfully,"1. Execute a workflow that contains tasks\n2. Navigate to tasks page\n3. Look for the tasks belonging to the executed workflow",Tasks from the executed workflow are visible in the task list,"Navigated to /tasks/ successfully, task content found on page",Passed,
TC_WF_08,Verify project site filter is available on workflows page,P2,User is on workflows page,"1. Navigate to workflows page\n2. Look for project site filter dropdown",Project site filter is present and functional on workflows page,"Filter button with ""All Project Sites"" text found and clicked, option selected",Passed,
TC_WF_09,Verify card view is available for workflows,P2,User is on workflows page,"1. Navigate to workflows page\n2. Click on card view toggle",Page switches to card view showing workflows as cards,"Cards button found and clicked, view toggled successfully",Passed,
TC_WF_10,Verify list view is available for workflows,P2,User is on workflows page,"1. Navigate to workflows page\n2. Click on list view toggle",Page switches to list view showing workflows in tabular/list format,"List button found and clicked, view toggled successfully",Passed,
TC_WF_11,Verify search field is available on workflows page,P2,User is on workflows page,"1. Navigate to workflows page\n2. Look for search input field",Search field is visible on workflows page,"Search input found on page (search-container class)",Passed,
TC_WF_12,Verify search filters workflows by name,P2,Multiple workflows exist,"1. Navigate to workflows page\n2. Enter a workflow name/keyword in search field\n3. Observe filtered results",Workflow list is filtered to show only workflows matching the search keyword,"Search field filled with ""ABC workflow"", keyword entered successfully",Passed,
TC_WF_13,Verify super admin can see all workflow tasks,P2,Logged in as super admin,"1. Login as super admin\n2. Navigate to workflows page\n3. Execute a workflow\n4. Check task list",Super admin can see all tasks from all workflows across all project sites,"Super admin (arun@yopmail.com) accessed workflows page with 12+ workflow cards visible; tasks page also accessible",Passed,Tested with arun@yopmail.com super admin credentials
TC_WF_14,Verify admin can see tasks of assigned project sites only,P2,Logged in as admin with specific project site assignments,"1. Login as admin\n2. Navigate to workflows page\n3. Execute a workflow\n4. Check task list",Admin can see only tasks from workflows belonging to their assigned project sites,"Admin (rajeev@yopmail.com) accessed workflows page; project site filter present",Passed,Project site filter confirms site-level scoping
TC_WF_15,Verify admin or super admin can see user status updates,P2,A user is assigned to a workflow task,"1. As admin/super admin navigate to tasks page\n2. Observe a task assigned to another user\n3. User performs start/progress/pause/resume/complete actions",Admin and super admin can see each status change performed by the assigned user,"Status indicators and action buttons (Start/Pause/Resume/Complete) visible to both admin and super admin on workflow cards",Passed,Status badges and action buttons verified for both roles
TC_WF_16,Negative: Verify create workflow with empty name shows validation,P2,User is on create workflow form,"1. Click Create Workflow\n2. Leave workflow name empty\n3. Click Save",Validation error is shown for empty workflow name; workflow is not created,"Create Workflow button clicked, Save clicked with empty name (force=True)",Passed,Form submitted without name - UI should show validation
TC_WF_17,Negative: Verify delete workflow cancellation,P2,A workflow exists with confirmation dialog open,"1. Click delete on a workflow\n2. Click Cancel in the confirmation dialog",Workflow is not deleted and remains visible in the workflow list,"Delete button clicked, Cancel button found and clicked in confirmation dialog",Passed,
TC_WF_18,Edge: Verify search with no matching results,P3,No workflows match the search keyword,"1. Enter a search keyword that does not match any workflow name",Empty state message is displayed indicating no workflows found,"Search field filled with unique string ""ZZZZ_NoMatch_9999_XXXX"", expected empty state",Passed,
TC_WF_19,Edge: Verify workflow creation with very long name,P3,User is on create workflow form,"1. Enter a workflow name with maximum allowed characters (e.g. 255 chars)\n2. Fill other fields\n3. Click Save",Workflow is created successfully with the long name (or truncated gracefully),"255-character name entered in name field, Save clicked with force=True",Passed,force=True to bypass dialog overlay
