ID,Scenario,Priority,Precondition,Steps,Expected Result,Actual Result,Status,Remarks
TC_DOM_01,Verify that example.com page loads successfully,P1,User has internet connection and a browser,1. Open browser\n2. Navigate to https://example.com,Page loads without errors and displays content,,,
TC_DOM_02,Verify page contains text "Example Domains",P1,Page is loaded successfully,1. Navigate to https://example.com\n2. Check page body for text "Example Domains",Page body contains the text "Example Domains",,,
TC_DOM_03,Verify page contains text "This domain is for use in documentation examples without needing permission. Avoid use in operations.",P1,Page is loaded successfully,1. Navigate to https://example.com\n2. Check page body for the informational text,Page body contains the exact informational paragraph text,,,
TC_DOM_04,Verify page contains a link with text "Learn more",P1,Page is loaded successfully,1. Navigate to https://example.com\n2. Locate link element with text "Learn more",A link with text "Learn more" is present on the page,,,
TC_DOM_05,Verify the "Learn more" link is clickable,P1,Page is loaded successfully and link is present,1. Navigate to https://example.com\n2. Click on "Learn more" link,The link is clickable and navigates to https://www.iana.org/help/example-domains,,,
TC_DOM_06,Verify page title contains "Example",P2,Page is loaded successfully,1. Navigate to https://example.com\n2. Check the page title,Page title is "Example Domain",,,
TC_DOM_07,Negative: Verify behavior when no internet connection,P3,No internet connection on the machine,1. Disconnect internet\n2. Navigate to https://example.com,Page fails to load with appropriate error message (DNS error / timeout),,,
TC_DOM_08,Negative: Verify behavior with invalid URL,P3,User has internet connection,1. Navigate to https://example.com/invalidpage,Page returns a 404 or appropriate error page,,,
TC_DOM_09,Edge: Verify page responsiveness at different viewport sizes,P2,Page is loaded successfully,1. Set viewport to 320x568 (mobile)\n2. Navigate to https://example.com\n3. Verify content is visible and not truncated\n4. Set viewport to 768x1024 (tablet)\n5. Verify content adjusts\n6. Set viewport to 1920x1080 (desktop)\n7. Verify content displays correctly,Page content is visible and properly formatted at all viewport sizes,,,
TC_DOM_10,Edge: Verify "Learn more" link opens in correct tab/window,P2,Page is loaded successfully,1. Navigate to https://example.com\n2. Check if link has target=_blank attribute\n3. Click link if needed,"Link navigates to https://www.iana.org/help/example-domains in the same or new tab",,,
TC_DOM_11,Edge: Verify page load time P2,P2,Page is loaded successfully,1. Navigate to https://example.com\n2. Measure page load time using performance API,Page loads within acceptable threshold (e.g., < 5 seconds),,,
TC_DOM_12,Accessibility: Verify page is keyboard navigable,P2,Page is loaded successfully,1. Navigate to https://example.com\n2. Tab through all interactive elements\n3. Verify focus indicators are visible,All links are reachable via keyboard and focus indicators are visible,,,
TC_DOM_13,Accessibility: Verify page has proper heading structure,P2,Page is loaded successfully,1. Navigate to https://example.com\n2. Inspect heading hierarchy (h1, h2, etc.),Page has a clear heading structure with one h1 and appropriate sub-headings,,,
TC_DOM_14,Regression: Verify existing functionality still works after any changes,P1,Previous test suite passed,1. Run all above test cases\n2. Compare results with baseline,All test cases pass with same results as previous run,,,
TC_DOM_15,Boundary: Verify page content with very slow network (3G throttling),P3,Network throttling capability,1. Enable network throttling (Slow 3G)\n2. Navigate to https://example.com\n3. Verify content eventually loads,Page loads completely even on slow network connections,,,
