ID,Scenario,Priority,Precondition,Steps,Expected Result,Actual Result,Status,Remarks
TC_PC_01,Verify petty cash page loads successfully,P1,User is logged in with valid credentials,"1. Login with valid credentials\n2. Navigate to petty cash page",Petty cash page loads with heading "Petty Cash" and 3 tabs (Funds/Transactions/Requests),,,
TC_PC_02,Verify funds tab is visible,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check for Funds tab",Funds tab is visible and active by default,,,
TC_PC_03,Verify transactions tab is visible,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check for Transactions tab",Transactions tab is visible,,,
TC_PC_04,Verify requests tab is visible,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check for Requests tab",Requests tab is visible,,,
TC_PC_05,Verify total fund amount is displayed,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check summary section",Total fund amount is displayed (e.g. ₹25,336.00),,,
TC_PC_06,Verify available balance is displayed,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check summary section",Available balance is displayed (e.g. ₹24,989.00),,,
TC_PC_07,Verify pending requests count is displayed,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check summary section",Pending requests count is displayed (e.g. 3),,,
TC_PC_08,Verify transactions count is displayed,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check summary section",Transactions count is displayed (e.g. 10),,,
TC_PC_09,Verify active funds count is displayed,P1,User is on petty cash page,"1. Navigate to petty cash page\n2. Check summary section",Active funds count is displayed (e.g. 7),,,
TC_PC_10,Verify create fund button is present,P1,User is on petty cash funds tab,"1. Navigate to petty cash page\n2. Check for Create Fund button",Create Fund button is visible,,,
TC_PC_11,Verify user can create a fund,P1,User is on petty cash funds tab,"1. Click Create Fund\n2. Enter fund name\n3. Enter initial amount\n4. Enter new balance threshold\n5. Enter notes\n6. Select project site\n7. Click Save",New fund is created successfully,,,
TC_PC_12,Verify fund list displays all funds,P1,Funds exist in the system,"1. Navigate to petty cash page\n2. View funds tab",All funds are listed with name, date, initial amount, current balance,,,
TC_PC_13,Verify fund search field is present,P2,User is on petty cash funds tab,"1. Navigate to petty cash page\n2. Check for search field",Fund search field is visible,,,
TC_PC_14,Verify user can search funds by name,P2,Multiple funds exist,"1. Enter fund name in search field\n2. Press Enter",Funds list is filtered to show matching funds,,,
TC_PC_15,Verify user can edit a fund,P1,A fund exists,"1. Click edit icon on a fund\n2. Modify fund name or amount\n3. Click Save",Fund is updated successfully,,,
TC_PC_16,Verify user can recharge a fund,P1,A fund exists,"1. Click recharge button on a fund\n2. Enter recharge amount\n3. Click Save",Fund balance is increased by recharge amount,,,
TC_PC_17,Verify user can delete a fund,P1,A fund exists,"1. Click delete icon on a fund\n2. Confirm deletion",Fund is deleted successfully,,,
TC_PC_18,Verify transaction table columns,P1,Transactions exist,"1. Navigate to transactions tab\n2. Check table headers",Table shows: Transaction ID, Date, Fund, Type, Amount, Direction, Paid By,,,
TC_PC_19,Verify request marked as paid appears in transactions,P1,A request is approved and marked as paid,"1. Approve a request\n2. Mark as paid\n3. Navigate to transactions tab",The paid request appears in transaction table,,,
TC_PC_20,Verify fund recharge appears in transactions,P1,A fund is recharged,"1. Recharge a fund\n2. Navigate to transactions tab",The recharge appears in transaction table,,,
TC_PC_21,Verify approve request button is present,P1,A pending request exists,"1. Navigate to requests tab\n2. View a pending request",Approve button is visible on pending requests,,,
TC_PC_22,Verify reject request button is present,P1,A pending request exists,"1. Navigate to requests tab\n2. View a pending request",Reject button is visible on pending requests,,,
TC_PC_23,Verify user can approve a request,P1,A pending request exists,"1. Click Approve on a pending request\n2. Confirm",Request status changes to Approved,,,
TC_PC_24,Verify user can reject a request with reason,P1,A pending request exists,"1. Click Reject on a pending request\n2. Enter rejection reason\n3. Confirm",Request is rejected and reason is recorded,,,
TC_PC_25,Verify approve and mark as paid together,P1,A pending request exists,"1. Click Approve and Mark as Paid together\n2. Confirm",Request is approved and marked as paid in one step,,,
TC_PC_26,Verify approve first then mark as paid,P1,A pending request exists,"1. Click Approve\n2. Then click Mark as Paid",Request is approved first, then marked as paid,,,
TC_PC_27,Verify super admin sees all project sites in dropdown,P2,Logged in as super admin,"1. Navigate to petty cash page\n2. Check project site dropdown",All project sites with funds are shown in dropdown,,,
TC_PC_28,Verify admin sees only assigned project sites,P2,Logged in as admin,"1. Navigate to petty cash page\n2. Check project site dropdown",Only admin's assigned project sites with funds are shown,,,
TC_PC_29,Verify project manager sees own project site funds,P2,Logged in as project manager,"1. Navigate to petty cash page\n2. Check funds",Only funds from manager's project site are visible,,,
TC_PC_30,Verify team member sees own requests only,P2,Logged in as team member,"1. Navigate to requests tab",Only requests assigned to the team member are visible,,,
TC_PC_31,Verify super admin sees all funds,P2,Logged in as super admin,"1. Navigate to funds tab",All funds from all project sites are visible,,,
TC_PC_32,Verify admin sees assigned site funds only,P2,Logged in as admin,"1. Navigate to funds tab",Only funds from admin's assigned project sites are visible,,,
TC_PC_33,Verify super admin sees all transactions,P2,Logged in as super admin,"1. Navigate to transactions tab",All transactions from all project sites are visible,,,
TC_PC_34,Verify admin sees assigned site transactions,P2,Logged in as admin,"1. Navigate to transactions tab",Only transactions from admin's assigned project sites are visible,,,
TC_PC_35,Verify super admin sees all requests,P2,Logged in as super admin,"1. Navigate to requests tab",All requests from all project sites are visible,,,
TC_PC_36,Verify admin sees assigned site requests,P2,Logged in as admin,"1. Navigate to requests tab",Only requests from admin's assigned project sites are visible,,,
TC_PC_37,Negative: Create fund with empty name,P2,User is on create fund form,"1. Click Create Fund\n2. Leave name empty\n3. Click Save",Validation error shown; fund not created,,,
TC_PC_38,Negative: Create fund with zero initial amount,P2,User is on create fund form,"1. Enter fund name\n2. Enter 0 as initial amount\n3. Click Save",Validation error or fund created with 0 balance,,,
TC_PC_39,Edge: Create fund with very long name,P3,User is on create fund form,"1. Enter 255-character fund name\n2. Click Save",Fund created or truncated gracefully,,,
TC_PC_40,Edge: Search with no matching funds,P3,No funds match search,"1. Enter non-matching search term",Empty state message is displayed,,,
TC_PC_41,Accessibility: Verify heading structure,P3,User is on petty cash page,"1. Check for h1/h2 headings",h1 "Petty Cash" and other headings present,,,
TC_PC_42,Accessibility: Verify keyboard navigation,P3,User is on petty cash page,"1. Tab through elements",Elements are reachable via keyboard,,,
TC_PC_43,Regression: Verify page loads after refresh,P1,User is on petty cash page,"1. Refresh the page\n2. Verify content",Page reloads and all tabs/sections are visible,,,
